"","eventID","occurrenceID","scientificName","scientificNameID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","Site1_01/12/1929","Site1_01/12/1929_A45","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"2","Site2_13/02/1930","Site2_13/02/1930_A29","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"3","Site2_13/02/1930","Site2_13/02/1930_A41","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"4","Site2_13/02/1930","Site2_13/02/1930_A44","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"5","Site2_13/02/1930","Site2_13/02/1930_A56","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"6","Site2_13/02/1930","Site2_13/02/1930_A86","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"7","Site3_01/12/1929","Site3_01/12/1929_A82","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"8","Site3_01/12/1929","Site3_01/12/1929_A85","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"9","Site1_01/12/1929","Site1_01/12/1929_A138","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"10","Site1_01/12/1929","Site1_01/12/1929_A141","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"11","Site1_01/12/1929","Site1_01/12/1929_A144","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"12","Site1_01/12/1929","Site1_01/12/1929_A147","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"13","Site2_13/02/1930","Site2_13/02/1930_A134","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"14","Site3_01/12/1929","Site3_01/12/1929_A139","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"15","Site2_13/02/1930","Site2_13/02/1930_A59","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"16","Site1_01/12/1929","Site1_01/12/1929_A84","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"17","Site1_01/12/1929","Site1_01/12/1929_A78","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
