ID_1;ID_2;SPECIE;Sepal_length_cm;Sepal_width_cm;Petal_length_cm;Petal_width_cm;SITE;Latitude;Longitude;Data
A70;A59;Iris_versicolor;6.6;2.9;4.6;1.3;Site2;48.540.502;-64.766.512;1930-02-13
A62;A84;Iris_versicolor;6.0;2.7;5.1;1.6;Site1;48.935.966;-64.840.984;1929-12-01
A60;A78;Iris_versicolor;6.7;3.0;5.0;1.7;Site1;48.935.966;-64.840.984;1929-12-01
A55;A63;Iris_versicolor;6.0;2.2;4.0;1.0;Site1;48.935.966;-64.840.984;1929-12-01
A53;A57;Iris_versicolor;6.3;3.3;4.7;1.6;Site1;48.935.966;-64.840.984;1929-12-01
A52;A54;Iris_versicolor;5.5;2.3;4.0;1.3;Site1;48.935.966;-64.840.984;1929-12-01
A49;A13;Iris_setosa;4.8;3.0;1.4;0.1;Site3;48.329.837;-65.512.333;1929-12-01
A31;A8;Iris_setosa;5.0;3.4;1.5;0.2;Site2;48.540.502;-64.766.512;1930-02-13
A19;A23;Iris_setosa;4.6;3.6;1.0;0.2;Site2;48.540.502;-64.766.512;1930-02-13
A148;A148;Iris_virginica;6.9;3.1;5.1;2.3;Site3;48.329.837;-65.512.333;1929-12-01
A140;A118;Iris_virginica;7.7;3.8;6.7;2.2;Site3;48.329.837;-65.512.333;1929-12-01
A135;A103;Iris_virginica;7.1;3.0;5.9;2.1;Site3;48.329.837;-65.512.333;1929-12-01
A118;A101;Iris_virginica;6.3;3.3;6.0;2.5;Site2;48.540.502;-64.766.512;1930-02-13
A112;A135;Iris_virginica;6.1;2.6;5.6;1.4;Site1;48.935.966;-64.840.984;1929-12-01
A110;A129;Iris_virginica;6.4;2.8;5.6;2.1;Site1;48.935.966;-64.840.984;1929-12-01
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
