PDF;Amostra;Site;Latitude;Longitude;Data;Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm)
A119;A104;Site2;48.540502;-64.766512;13/02/1930;Iris virginica;6.3;2.9;5.6;1.8
A3;A24;Site1;48.935966;-64.840984;01/12/1929;Iris setosa;5.1;3.3;1.7;0.5
A98;A94;Site3;48.329837;-65.512333;01/12/1929;Iris versicolor;5;2.3;3.3;1
A132;A143;Site2;48.540502;-64.766512;13/02/1930;Iris virginica;5.8;2.7;5.1;1.9
A111;A132;Site1;48.935966;-64.840984;01/12/1929;Iris virginica;7.9;3.8;6.4;2
A128;A131;Site2;48.540502;-64.766512;13/02/1930;Iris virginica;7.4;2.8;6.1;1.9
A9;A42;Site1;48.935966;-64.840984;01/12/1929;Iris setosa;4.5;2.3;1.3;0.3
A146;A136;Site3;48.329837;-65.512333;01/12/1929;Iris virginica;7.7;3;6.1;2.3
A42;A43;Site4;48.329837;-65.512333;01/12/1929;Iris setosa;4.4;3.2;1.3;0.2
A18;A20;Site2;48.540502;-64.766512;13/02/1930;Iris setosa;5.1;3.8;1.5;0.3
A149;A145;Site3;48.329837;-65.512333;01/12/1929;Iris virginica;6.7;3.3;5.7;2.5
A77;A80;Site2;48.540502;-64.766512;13/02/1930;Iris versicolor;5.7;2.6;3.5;1
A57;A69;Site1;48.935966;-64.840984;01/12/1929;Iris versicolor;6.2;2.2;4.5;1.5
A1;A18;Site1;48.935966;-64.840984;01/12/1929;Iris setosa;5.1;3.5;1.4;0.3
A4;A27;Site1;48.935966;-64.840984;01/12/1929;Iris setosa;5;3.4;1.6;0.4
