ID_arquivo;ID_amostra;site;lat;long;data;sp;sepal_length(cm);sepal_width(cm);petal_length(cm);petal_width(cm)
A134;A149;Site2;48540502;-64766512;13/02/1930;Iris virginica ;6.2 ;3.4 ;5.4 ;2.3 
A89;A67;Site3 ;48329837;-65512333;01/12/1929;Iris versicolor ;5.6 ;3;4.5 ;1.5 
A83;A98;Site2 ;48540502;-64766512;13/02/1930;Iris versicolor ;6.2 ;2.9 ;4.3 ;1.3 
A81;A92;Site2 ;48540502;-64766512;13/02/1930;Iris versicolor ;6.1 ;3;4.6 ;1.4 
A63;A87;Site1 ;48935966;-64840984;01/12/1929;Iris versicolor ;6.7 ;3.1 ;4.7 ;1.5 
A56;A66;Site1 ;48935966;-64840984;01/12/1929;Iris versicolor ;6.7 ;3.1 ;4.4 ;1.4 
A43;A46;Site3 ;48329837;-65512333;01/12/1929;Iris setosa ;4.8 ;3;1.4 ;0.3 
A35;A22;Site3 ;48329837;-65512333;01/12/1929;Iris setosa ;5.1 ;3.7;1.5 ;0.4 
A23;A35;Site2 ;48540502;-64766512;13/02/1930;Iris setosa ;4.9 ;3.1 ;1.5 ;0.2 
A22;A32;Site2 ;48540502;-64766512;13/02/1930;Iris setosa ;5.4 ;3.4 ;1.5 ;0.4 
A20;A26;Site2 ;48540502;-64766512;13/02/1930;Iris setosa ;5;3;1.6 ;0.2 
A7;A36;Site1;48935966;-64840984;01/12/1929;Iris setosa ;5;3.2 ;1.2 ;0.2 
A6;A33;Site1 ;48935966;-64840984;01/12/1929;Iris setosa ;5.2 ;4.1 ;1.5 ;0.1 
A2;A21;Site1 ;48935966;-64840984;01/12/1929;Iris setosa ;5.4 ;3.4 ;1.7 ;0.2 
A142;A124;Site3 ;48329837;-65512333;01/12/1929;Iris virginica ;6.3 ;2.7 ;4.9 ;1.8 
