"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-156.40989,20.772141,NA,"Eretmochelys imbricata"
"gbif",-106.58362,23.372246,NA,"Eretmochelys imbricata"
"gbif",120.908755,13.755838,NA,"Eretmochelys imbricata"
"gbif",120.885162,13.65427,NA,"Eretmochelys imbricata"
"gbif",-45.402038,-23.987742,NA,"Eretmochelys imbricata"
"gbif",120.976164,13.685593,NA,"Eretmochelys imbricata"
"gbif",143.5,-12.5,NA,"Eretmochelys imbricata"
"gbif",143.5,-11.5,NA,"Eretmochelys imbricata"
"gbif",166.763427,-20.553725,NA,"Eretmochelys imbricata"
"gbif",120.921879,13.626754,NA,"Eretmochelys imbricata"
"gbif",159.046872,-31.512355,NA,"Eretmochelys imbricata"
"gbif",151.275561,-33.821944,NA,"Eretmochelys imbricata"
"gbif",18.927468,-34.330249,NA,"Eretmochelys imbricata"
"gbif",39.380762,-4.610704,NA,"Eretmochelys imbricata"
"gbif",-81.23606,19.349698,NA,"Eretmochelys imbricata"
"gbif",120.99957,13.620643,NA,"Eretmochelys imbricata"
"gbif",120.89557,13.625166,NA,"Eretmochelys imbricata"
"gbif",130.409553,-2.211328,NA,"Eretmochelys imbricata"
"gbif",34.405367,28.558487,NA,"Eretmochelys imbricata"
"gbif",39.264435,-4.603543,NA,"Eretmochelys imbricata"
"gbif",153.488263,-27.462245,NA,"Eretmochelys imbricata"
"gbif",73.081481,5.011638,NA,"Eretmochelys imbricata"
"gbif",-86.832422,16.150224,NA,"Eretmochelys imbricata"
"gbif",103.774791,1.250887,NA,"Eretmochelys imbricata"
"gbif",50.614322,26.275155,NA,"Eretmochelys imbricata"
"gbif",-72.44055,21.675205,NA,"Eretmochelys imbricata"
"gbif",-66.307363,18.513453,NA,"Eretmochelys imbricata"
"gbif",-83.676367,7.665419,NA,"Eretmochelys imbricata"
"gbif",-90.892332,-0.993244,NA,"Eretmochelys imbricata"
"gbif",-91.955386,1.233597,NA,"Eretmochelys imbricata"
"gbif",-91.914859,1.300815,NA,"Eretmochelys imbricata"
"gbif",103.041684,5.675622,NA,"Eretmochelys imbricata"
"gbif",115.559904,-8.305534,NA,"Eretmochelys imbricata"
"gbif",105.649615,-10.546736,NA,"Eretmochelys imbricata"
"gbif",35.439024,-21.981193,NA,"Eretmochelys imbricata"
"gbif",72.860239,3.673731,NA,"Eretmochelys imbricata"
"gbif",35.418729,-21.835871,NA,"Eretmochelys imbricata"
"gbif",-106.554039,23.395619,NA,"Eretmochelys imbricata"
"gbif",-68.278733,12.082112,NA,"Eretmochelys imbricata"
"gbif",39.344229,-4.670534,NA,"Eretmochelys imbricata"
"gbif",39.959636,-3.725444,NA,"Eretmochelys imbricata"
"gbif",131.451602,-0.383197,NA,"Eretmochelys imbricata"
"gbif",119.578902,-8.719665,NA,"Eretmochelys imbricata"
"gbif",-105.380195,20.599601,NA,"Eretmochelys imbricata"
"gbif",-68.379194,12.089539,NA,"Eretmochelys imbricata"
"gbif",153.31111,-29.88339,NA,"Eretmochelys imbricata"
"gbif",38.565999,20.653938,NA,"Eretmochelys imbricata"
"gbif",104.039165,-5.113522,NA,"Eretmochelys imbricata"
"gbif",-106.254007,21.551787,NA,"Eretmochelys imbricata"
"gbif",39.425026,-4.706962,NA,"Eretmochelys imbricata"
"gbif",72.840198,3.415483,NA,"Eretmochelys imbricata"
"gbif",72.991595,3.440623,NA,"Eretmochelys imbricata"
"gbif",167.533934,11.208478,NA,"Eretmochelys imbricata"
"gbif",72.665142,3.873844,NA,"Eretmochelys imbricata"
"gbif",-83.201911,10.06082,NA,"Eretmochelys imbricata"
"gbif",73.475959,4.126745,NA,"Eretmochelys imbricata"
"gbif",103.777912,1.240339,NA,"Eretmochelys imbricata"
"gbif",115.543091,-8.445542,NA,"Eretmochelys imbricata"
"gbif",72.859221,3.91943,NA,"Eretmochelys imbricata"
"gbif",151.882551,-24.069937,NA,"Eretmochelys imbricata"
"gbif",-81.34892,19.269401,NA,"Eretmochelys imbricata"
"gbif",34.996789,24.822976,NA,"Eretmochelys imbricata"
"gbif",-159.76193,-21.238017,NA,"Eretmochelys imbricata"
"gbif",-64.833557,18.261081,NA,"Eretmochelys imbricata"
"gbif",-87.177254,20.36387,NA,"Eretmochelys imbricata"
"gbif",-86.556381,16.229628,NA,"Eretmochelys imbricata"
"gbif",-86.930326,20.497332,NA,"Eretmochelys imbricata"
"gbif",35.089295,24.95096,NA,"Eretmochelys imbricata"
"gbif",-87.021179,20.371113,NA,"Eretmochelys imbricata"
"gbif",-111.161199,25.558559,NA,"Eretmochelys imbricata"
"gbif",-86.956449,20.410534,NA,"Eretmochelys imbricata"
"gbif",30.956321,-30.227648,NA,"Eretmochelys imbricata"
"gbif",-87.05375,20.245963,NA,"Eretmochelys imbricata"
"gbif",-90.142553,21.166364,NA,"Eretmochelys imbricata"
"gbif",-64.991226,18.310788,NA,"Eretmochelys imbricata"
"gbif",73.142388,5.304974,NA,"Eretmochelys imbricata"
"gbif",-89.783984,21.26328,NA,"Eretmochelys imbricata"
"gbif",-83.983392,8.797284,NA,"Eretmochelys imbricata"
"gbif",73.071079,2.629718,NA,"Eretmochelys imbricata"
"gbif",-85.828975,16.585571,NA,"Eretmochelys imbricata"
"gbif",-87.756383,21.463245,NA,"Eretmochelys imbricata"
"gbif",-89.810491,13.580198,NA,"Eretmochelys imbricata"
"gbif",-80.942661,-1.430806,NA,"Eretmochelys imbricata"
"gbif",73.702829,2.634066,NA,"Eretmochelys imbricata"
"gbif",-89.939919,13.469251,NA,"Eretmochelys imbricata"
"gbif",121.435572,22.623157,NA,"Eretmochelys imbricata"
"gbif",-64.671885,18.289413,NA,"Eretmochelys imbricata"
"gbif",-77.219007,25.1078,NA,"Eretmochelys imbricata"
"gbif",35.431236,24.207468,NA,"Eretmochelys imbricata"
"gbif",151.148449,-34.054021,NA,"Eretmochelys imbricata"
"gbif",-87.591002,12.781488,NA,"Eretmochelys imbricata"
"gbif",146.252421,-16.764039,NA,"Eretmochelys imbricata"
"gbif",55.445706,-4.68068,NA,"Eretmochelys imbricata"
"gbif",58.088006,23.878302,NA,"Eretmochelys imbricata"
"gbif",73.452729,3.881864,NA,"Eretmochelys imbricata"
"gbif",-157.847194,21.364019,NA,"Eretmochelys imbricata"
"gbif",48.264248,-13.113205,NA,"Eretmochelys imbricata"
"gbif",125.116666,10.070368,NA,"Eretmochelys imbricata"
"gbif",74.311432,14.133037,NA,"Eretmochelys imbricata"
"gbif",74.212162,14.062446,NA,"Eretmochelys imbricata"
"gbif",-78.948992,8.275688,NA,"Eretmochelys imbricata"
"gbif",99.212215,7.051885,NA,"Eretmochelys imbricata"
"gbif",120.966407,13.772832,NA,"Eretmochelys imbricata"
"gbif",120.888763,13.754325,NA,"Eretmochelys imbricata"
"gbif",-83.822671,8.642438,NA,"Eretmochelys imbricata"
"gbif",9.048832,4.155936,NA,"Eretmochelys imbricata"
"gbif",-155.953831,19.456283,NA,"Eretmochelys imbricata"
"gbif",-96.089566,15.679853,NA,"Eretmochelys imbricata"
"gbif",-83.804207,8.748399,NA,"Eretmochelys imbricata"
"gbif",39.210049,-4.69545,NA,"Eretmochelys imbricata"
